 Dispensed Liquid (mL),Displaced Amount (mm),Type
0.1,1.72,Not Adjustable
0.2,3.44,Not Adjustable
0.3,5.16,Not Adjustable
0.4,6.88,Not Adjustable
0.5,8.6,Adjustable
0.6,10.32,Adjustable
0.7,12.04,Adjustable
0.8,13.76,Adjustable
0.9,15.48,Adjustable
1,17.2,Adjustable
1.1,18.92,Adjustable
1.2,20.64,N/A
